Title: Ion-by-Ion Cooling Efficiencies
Authors: Gnat O., Ferland G.J.
Table: Ion-by-Ion Cooling Efficiencies for Helium
================================================================================
Byte-by-byte Description of file: datafile1B.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label         Explanations
--------------------------------------------------------------------------------
   1-  8 E8.2   K       Temperature   Temperature (column 1)
  10- 17 E8.2   ---     He{0}         Ionic Cooling efficiency (column 2)
  19- 26 E8.2   ---     He{+}         Ionic Cooling efficiency (column 3)
  28- 35 E8.2   ---     He{2+}        Ionic Cooling efficiency (column 4)
  37- 44 E8.2   ---     He{CIE}       CIE Cooling efficiency (column 5)
--------------------------------------------------------------------------------
2.63e+07 8.35e-19 4.11e-19 3.82e-23 3.84e-23
2.75e+07 8.24e-19 4.07e-19 3.89e-23 3.91e-23
2.88e+07 8.13e-19 4.02e-19 3.96e-23 3.98e-23
3.02e+07 8.02e-19 3.98e-19 4.03e-23 4.05e-23
3.16e+07 7.90e-19 3.93e-19 4.10e-23 4.11e-23
3.31e+07 7.79e-19 3.88e-19 4.18e-23 4.19e-23
3.47e+07 7.69e-19 3.84e-19 4.25e-23 4.27e-23
3.63e+07 7.58e-19 3.79e-19 4.33e-23 4.34e-23
3.80e+07 7.47e-19 3.75e-19 4.40e-23 4.41e-23
3.98e+07 7.36e-19 3.70e-19 4.48e-23 4.49e-23
4.17e+07 7.26e-19 3.66e-19 4.55e-23 4.56e-23
4.37e+07 7.15e-19 3.61e-19 4.62e-23 4.63e-23
4.57e+07 7.05e-19 3.57e-19 4.69e-23 4.70e-23
4.79e+07 6.95e-19 3.53e-19 4.76e-23 4.77e-23
5.01e+07 6.84e-19 3.48e-19 4.83e-23 4.83e-23
5.25e+07 6.74e-19 3.44e-19 4.89e-23 4.90e-23
5.50e+07 6.64e-19 3.39e-19 4.95e-23 4.96e-23
5.75e+07 6.54e-19 3.35e-19 5.02e-23 5.02e-23
6.03e+07 6.45e-19 3.31e-19 5.08e-23 5.09e-23
6.31e+07 6.35e-19 3.27e-19 5.15e-23 5.15e-23
6.61e+07 6.25e-19 3.23e-19 5.21e-23 5.21e-23
6.92e+07 6.16e-19 3.18e-19 5.27e-23 5.27e-23
7.24e+07 6.07e-19 3.14e-19 5.32e-23 5.33e-23
7.59e+07 5.97e-19 3.10e-19 5.37e-23 5.38e-23
7.94e+07 5.88e-19 3.06e-19 5.42e-23 5.43e-23
8.32e+07 5.79e-19 3.02e-19 5.47e-23 5.47e-23
8.71e+07 5.70e-19 2.98e-19 5.51e-23 5.51e-23
9.12e+07 5.61e-19 2.94e-19 5.55e-23 5.55e-23
9.55e+07 5.53e-19 2.90e-19 5.58e-23 5.59e-23
1.00e+08 5.44e-19 2.87e-19 5.62e-23 5.62e-23
